Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ECR Emrgency Change,Chrome 62.0.3202.89,,2017-11-15 14:32:38,2017-11-15 14:43:09,10m - 31.183s,FAILED
,,,,,,
Test Cases/ECR/REF/ECR_Lite_ExpertService,Chrome 62.0.3202.89,,2017-11-15 14:32:38,2017-11-15 14:35:46,3m - 7.550s,PASSED
com.helper.commonfunct.utilities.login,Chrome 62.0.3202.89,,2017-11-15 14:32:39,2017-11-15 14:32:53,13.353s,PASSED
com.helper.commonfunct.utilities.createECR,Chrome 62.0.3202.89,,2017-11-15 14:32:53,2017-11-15 14:35:46,2m - 53.236s,PASSED
,,,,,,
Test Cases/ECR/REF/ECR_Lite_NoExpertService,Chrome 62.0.3202.89,,2017-11-15 14:35:46,2017-11-15 14:36:54,1m - 7.950s,FAILED
com.helper.commonfunct.utilities.login,Chrome 62.0.3202.89,,2017-11-15 14:35:46,2017-11-15 14:35:56,10.255s,PASSED
com.helper.commonfunct.utilities.createECR,Chrome 62.0.3202.89,,2017-11-15 14:35:56,2017-11-15 14:36:54,57.450s,FAILED
,,,,,,
Test Cases/ECR/REF/ECR_Meeting_ExpertService,Chrome 62.0.3202.89,,2017-11-15 14:36:54,2017-11-15 14:40:09,3m - 15.115s,FAILED
com.helper.commonfunct.utilities.login,Chrome 62.0.3202.89,,2017-11-15 14:36:54,2017-11-15 14:37:06,11.766s,PASSED
Statement - Meeting = true,Chrome 62.0.3202.89,,2017-11-15 14:37:06,2017-11-15 14:37:06,0.005s,PASSED
com.helper.commonfunct.utilities.ECRMeeting,Chrome 62.0.3202.89,,2017-11-15 14:37:06,2017-11-15 14:40:09,3m - 3.095s,FAILED
,,,,,,
Test Cases/ECR/REF/ECR_Meeting_NoExpertService,Chrome 62.0.3202.89,,2017-11-15 14:40:09,2017-11-15 14:43:06,2m - 56.779s,FAILED
com.helper.commonfunct.utilities.login,Chrome 62.0.3202.89,,2017-11-15 14:40:09,2017-11-15 14:40:20,10.892s,PASSED
Statement - Meeting = true,Chrome 62.0.3202.89,,2017-11-15 14:40:20,2017-11-15 14:40:20,0.001s,PASSED
com.helper.commonfunct.utilities.ECRMeeting,Chrome 62.0.3202.89,,2017-11-15 14:40:20,2017-11-15 14:43:06,2m - 45.519s,FAILED
,,,,,,
Test Cases/ECR/REF/ECR_NoRL_Approval,Chrome 62.0.3202.89,,2017-11-15 14:43:06,2017-11-15 14:43:08,1.795s,ERROR
"Statement - While (WOSTATUS.contains(""Pending""))",Chrome 62.0.3202.89,,2017-11-15 14:43:07,2017-11-15 14:43:07,0.016s,PASSED
